wavelength	intensity	cleaned_intensity
401.868	9888.0	9888.0
401.906	9796.0	9796.0
401.944	9594.0	9594.0
401.983	9746.0	9746.0
402.021	9688.0	9688.0
402.059	9534.0	9534.0
402.097	9410.0	9410.0
402.135	9726.0	9726.0
402.173	9418.0	9418.0
402.211	9472.0	9472.0
402.249	9609.0	9609.0
402.287	9584.0	9584.0
402.325	9673.0	9673.0
402.363	9707.0	9707.0
402.401	9934.0	9934.0
402.439	9906.0	9906.0
402.477	9869.0	9869.0
402.515	10017.0	10017.0
402.553	10228.0	10228.0
402.591	10413.0	10413.0
402.629	10476.0	10476.0
402.667	10727.0	10727.0
402.706	10843.0	10843.0
402.744	11082.0	11082.0
402.782	11503.0	11503.0
402.82	11716.0	11716.0
402.858	12149.0	12149.0
402.896	12558.0	12558.0
402.934	12663.0	12663.0
402.972	13204.0	13204.0
403.01	13447.0	13447.0
403.048	13528.0	13528.0
403.086	13823.0	13823.0
403.124	13884.0	13884.0
403.162	13895.0	13895.0
403.2	13737.0	13737.0
403.238	13779.0	13779.0
403.276	13597.0	13597.0
403.314	13207.0	13207.0
403.352	12998.0	12998.0
403.39	12719.0	12719.0
403.428	12572.0	12572.0
403.466	12331.0	12331.0
403.503	12084.0	12084.0
403.541	12137.0	12137.0
403.579	11737.0	11737.0
403.617	11796.0	11796.0
403.655	11589.0	11589.0
403.693	11524.0	11524.0
403.731	11520.0	11520.0
403.769	11522.0	11522.0
403.807	11313.0	11313.0
403.845	11115.0	11115.0
403.883	11375.0	11375.0
403.921	11177.0	11177.0
403.959	11298.0	11298.0
403.997	11102.0	11102.0
404.035	11054.0	11054.0
404.073	10922.0	10922.0
404.111	11005.0	11005.0
404.149	10770.0	10770.0
404.187	10768.0	10768.0
404.224	10617.0	10617.0
404.262	10821.0	10821.0
404.3	10462.0	10462.0
404.338	10632.0	10632.0
404.376	10636.0	10636.0
404.414	10415.0	10415.0
404.452	10709.0	10709.0
404.49	10607.0	10607.0
404.528	10516.0	10516.0
404.566	10541.0	10541.0
404.604	10431.0	10431.0
404.641	10553.0	10553.0
404.679	10536.0	10536.0
404.717	10363.0	10363.0
404.755	10468.0	10468.0
404.793	10427.0	10427.0
404.831	10327.0	10327.0
404.869	10356.0	10356.0
404.907	10261.0	10261.0
404.945	10201.0	10201.0
404.982	10257.0	10257.0
405.02	10239.0	10239.0
405.058	10029.0	10029.0
405.096	10220.0	10220.0
405.134	10220.0	10220.0
405.172	10230.0	10230.0
405.21	10216.0	10216.0
405.247	10236.0	10236.0
405.285	10149.0	10149.0
405.323	10459.0	10459.0
405.361	10375.0	10375.0
405.399	10498.0	10498.0
405.437	10582.0	10582.0
405.474	10472.0	10472.0
405.512	10820.0	10820.0
405.55	10727.0	10727.0
405.588	10976.0	10976.0
405.626	10995.0	10995.0
405.664	11120.0	11120.0
405.701	11414.0	11414.0
405.739	11489.0	11489.0
405.777	11549.0	11549.0
405.815	11916.0	11916.0
405.853	12011.0	12011.0
405.89	12072.0	12072.0
405.928	12273.0	12273.0
